App name,No.,Time,Source,Destination,Protocol,Length
Google Play service,5149,0.0,172.30.1.250,172.30.1.1,TCP,88
Google Play service,5150,0.047814999999900465,172.30.1.1,172.30.1.250,TCP,88
Android,5151,42.11973799999987,172.30.1.1,172.30.1.250,DNS,104
Android,5152,42.518058999999994,172.30.1.250,172.30.1.1,DNS,120
Android,5153,42.52356899999995,172.30.1.1,172.30.1.250,TCP,108
Android,5154,42.71820600000001,172.30.1.250,172.30.1.1,TCP,96
Android,5155,42.72012799999993,172.30.1.1,172.30.1.250,TCP,88
Android,5156,42.72256900000002,172.30.1.1,172.30.1.250,TLSv1.3,644
Android,5157,42.72314499999993,172.30.1.250,172.30.1.1,TCP,88
Android,5158,42.788614999999936,172.30.1.250,172.30.1.1,TLSv1.3,2136
Android,5159,42.789311,172.30.1.1,172.30.1.250,TCP,88
Android,5160,42.790510999999924,172.30.1.250,172.30.1.1,TLSv1.3,2716
Android,5161,42.790714999999864,172.30.1.1,172.30.1.250,TCP,88
Android,5162,42.810939999999846,172.30.1.1,172.30.1.250,TLSv1.3,152
Android,5163,42.81127399999991,172.30.1.250,172.30.1.1,TCP,88
Android,5164,42.81144399999994,172.30.1.1,172.30.1.250,TLSv1.3,448
Android,5165,42.81186099999991,172.30.1.250,172.30.1.1,TCP,88
Android,5166,42.92072399999984,172.30.1.250,172.30.1.1,TLSv1.3,5816
Android,5167,42.927277000000004,172.30.1.1,172.30.1.250,TCP,88
Android,5168,42.96333800000002,172.30.1.250,172.30.1.1,TLSv1.3,5512
Android,5169,42.963588999999956,172.30.1.1,172.30.1.250,TCP,88
Messenger,5170,112.72480199999995,172.30.1.250,172.30.1.1,TCP,128
Messenger,5171,112.73262599999998,172.30.1.1,172.30.1.250,TCP,124
Messenger,5172,112.73309599999993,172.30.1.250,172.30.1.1,TCP,88
Messenger,5173,139.55464099999995,172.30.1.1,172.30.1.250,TCP,88
Messenger,5174,139.55634799999984,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,5175,140.70025799999985,172.30.1.1,172.30.1.250,TCP,108
WhatsApp,5176,140.77103199999988,172.30.1.250,172.30.1.1,TCP,96
WhatsApp,5177,140.7713329999999,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,5178,140.77396899999985,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,5179,140.77433700000006,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,5180,140.77465400000006,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,5181,140.77469399999995,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,5182,140.7747609999999,172.30.1.1,172.30.1.250,TCP,96
WhatsApp,5183,140.77502400000003,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,5184,140.77756299999987,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,5185,140.77774699999986,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,5186,140.77793099999985,172.30.1.1,172.30.1.250,TCP,352
WhatsApp,5187,140.778139,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,5188,140.96687099999986,172.30.1.250,172.30.1.1,TCP,268
WhatsApp,5189,140.96710699999994,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,5190,140.97394699999995,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,5191,140.97413699999993,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,5192,140.97421299999996,172.30.1.1,172.30.1.250,TCP,256
WhatsApp,5193,140.97427100000004,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,5194,140.97430499999996,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,5195,140.97431600000004,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,5196,140.97434299999986,172.30.1.1,172.30.1.250,TCP,124
WhatsApp,5197,140.97435099999984,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,5198,140.99176999999986,172.30.1.250,172.30.1.1,TCP,132
WhatsApp,5199,140.9919379999999,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,5200,141.03172399999994,172.30.1.250,172.30.1.1,TCP,124
WhatsApp,5201,141.03206099999989,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,5202,141.040256,172.30.1.250,172.30.1.1,TCP,284
WhatsApp,5203,141.04044999999996,172.30.1.1,172.30.1.250,TCP,88
Messenger,5204,141.36170100000004,172.30.1.1,172.30.1.250,TLSv1.3,140
Messenger,5205,141.3621129999999,172.30.1.250,172.30.1.1,TCP,88
Messenger,5206,141.44674899999995,172.30.1.250,172.30.1.1,TCP,88
